"TOA5","ROS_6","CR1000","33755","CR1000.Std.19","CPU:ROS06.ROS12.29.6.2012.CR1","32706","ROS06Table15min"
"TIMESTAMP","RECORD","Rain_mm_Tot","VW(1)","VW(2)","VW(3)","VW(4)","VW(5)","VW(6)","VW(7)","VW(8)","PA_uS(1)","PA_uS(2)","PA_uS(3)","PA_uS(4)","PA_uS(5)","PA_uS(6)","PA_uS(7)","PA_uS(8)","HalfBR_Avg(1)","HalfBR_Avg(2)","HalfBR_Avg(3)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","SoilTemp_Avg(3)"
"TS","RN","mm","","","","","","","","","uSec","uSec","uSec","uSec","uSec","uSec","uSec","uSec","mV/mV","mV/mV","mV/mV","Deg C","Deg C","Deg C"
"","","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-07-31 00:15:00",38043,0,0.347,0.304,0.275,0.293,0.059,0.043,0.046,0.051,29.22,27.93,27.03,27.6,18.6,17.75,17.94,18.23,0.337,0.326,"NAN",13.41,14.41,"NAN"
"2013-07-31 00:30:00",38044,0,0.347,0.303,0.274,0.293,0.059,0.043,0.046,0.052,29.22,27.91,27.02,27.59,18.6,17.75,17.94,18.24,0.338,0.327,"NAN",13.32,14.31,"NAN"
"2013-07-31 00:45:00",38045,0,0.348,0.303,0.274,0.293,0.059,0.043,0.046,0.051,29.23,27.91,27.02,27.59,18.6,17.75,17.96,18.23,0.339,0.328,"NAN",13.24,14.22,"NAN"
"2013-07-31 01:00:00",38046,0,0.347,0.303,0.274,0.293,0.059,0.043,0.046,0.051,29.22,27.91,27.02,27.6,18.6,17.77,17.94,18.23,0.34,0.329,"NAN",13.14,14.12,"NAN"
"2013-07-31 01:15:00",38047,0,0.347,0.304,0.275,0.293,0.059,0.043,0.046,0.051,29.22,27.93,27.03,27.59,18.6,17.75,17.94,18.23,0.341,0.33,"NAN",13.05,14.03,"NAN"
"2013-07-31 01:30:00",38048,0,0.348,0.304,0.275,0.293,0.058,0.043,0.046,0.052,29.23,27.93,27.03,27.59,18.58,17.75,17.94,18.24,0.342,0.331,"NAN",12.96,13.93,"NAN"
"2013-07-31 01:45:00",38049,0,0.348,0.303,0.274,0.293,0.058,0.043,0.046,0.051,29.23,27.91,27.02,27.6,18.58,17.75,17.94,18.23,0.342,0.332,"NAN",12.88,13.85,"NAN"
"2013-07-31 02:00:00",38050,0,0.348,0.304,0.274,0.293,0.059,0.043,0.046,0.051,29.23,27.93,27.02,27.6,18.6,17.75,17.94,18.23,0.343,0.333,"NAN",12.81,13.77,"NAN"
