"TOA5","ROS_5","CR1000","33756","CR1000.Std.19","CPU:ROS05.ROS11.29.6.2012.CR1","55334","ROS05Table15min"
"TIMESTAMP","RECORD","Rain_mm_Tot","VW(1)","VW(2)","VW(3)","VW(4)","VW(5)","VW(6)","VW(7)","VW(8)","PA_uS(1)","PA_uS(2)","PA_uS(3)","PA_uS(4)","PA_uS(5)","PA_uS(6)","PA_uS(7)","PA_uS(8)","HalfBR_Avg(1)","HalfBR_Avg(2)","HalfBR_Avg(3)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","SoilTemp_Avg(3)"
"TS","RN","mm","","","","","","","","","uSec","uSec","uSec","uSec","uSec","uSec","uSec","uSec","mV/mV","mV/mV","mV/mV","Deg C","Deg C","Deg C"
"","","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-07-31 00:15:00",37712,0,0.296,0.141,0.307,-0.005,-0.008,0.064,-0.005,-0.005,27.68,22.3,28.02,14.87,14.69,18.88,14.88,14.87,0.362,0.356,0.358,11.03,11.62,11.45
"2013-07-31 00:30:00",37713,0,0.296,0.14,0.306,-0.005,-0.008,0.064,-0.005,-0.005,27.68,22.24,27.99,14.87,14.69,18.87,14.88,14.87,0.363,0.358,0.361,10.96,11.43,11.2
"2013-07-31 00:45:00",37714,0,0.296,0.14,0.304,-0.004,-0.008,0.064,-0.005,-0.005,27.68,22.24,27.94,14.93,14.66,18.87,14.89,14.88,0.362,0.359,0.36,11.06,11.31,11.25
"2013-07-31 01:00:00",37715,0,0.296,0.14,0.304,-0.005,-0.007,0.064,-0.005,-0.005,27.68,22.24,27.94,14.91,14.74,18.85,14.89,14.88,0.359,0.357,0.358,11.37,11.53,11.43
"2013-07-31 01:15:00",37716,0,0.296,0.14,0.304,-0.005,-0.008,0.064,-0.005,-0.005,27.68,22.23,27.94,14.89,14.66,18.85,14.91,14.88,0.355,0.354,0.356,11.74,11.79,11.57
"2013-07-31 01:30:00",37717,0,0.296,0.14,0.304,-0.004,-0.008,0.064,-0.005,-0.005,27.68,22.23,27.94,14.92,14.66,18.87,14.91,14.88,0.355,0.354,0.354,11.71,11.81,11.81
"2013-07-31 01:45:00",37718,0,0.295,0.141,0.307,-0.005,-0.008,0.064,-0.005,-0.005,27.67,22.3,28.02,14.88,14.69,18.85,14.89,14.87,0.354,0.352,0.353,11.84,11.98,11.9
"2013-07-31 02:00:00",37719,0,0.296,0.14,0.304,-0.005,-0.008,0.064,-0.005,-0.005,27.68,22.23,27.93,14.87,14.68,18.85,14.88,14.88,0.353,0.352,0.351,11.89,11.99,12.1
