"TOA5","ROS_1","CR1000","33754","CR1000.Std.19","CPU:ROS01.ROS08.29.6.2012.CR1","13","ROS01Table15min"
"TIMESTAMP","RECORD","Rain_mm_Tot","VW(1)","VW(2)","VW(3)","VW(4)","VW(5)","VW(6)","VW(7)","VW(8)","PA_uS(1)","PA_uS(2)","PA_uS(3)","PA_uS(4)","PA_uS(5)","PA_uS(6)","PA_uS(7)","PA_uS(8)","HalfBR_Avg(1)","HalfBR_Avg(2)","HalfBR_Avg(3)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","SoilTemp_Avg(3)"
"TS","RN","mm","","","","","","","","","uSec","uSec","uSec","uSec","uSec","uSec","uSec","uSec","mV/mV","mV/mV","mV/mV","Deg C","Deg C","Deg C"
"","","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-07-31 00:15:00",38045,0,0.328,0.334,0.326,0.321,-0.006,-0.006,0.049,0.01,28.65,28.84,28.61,28.44,14.84,14.82,18.12,15.84,0.332,0.359,0.356,13.92,11.36,11.62
"2013-07-31 00:30:00",38046,0,0.328,0.334,0.326,0.32,-0.006,-0.006,0.049,0.01,28.66,28.84,28.61,28.43,14.84,14.84,18.12,15.86,0.332,0.358,0.356,13.83,11.42,11.6
"2013-07-31 00:45:00",38047,0,0.328,0.334,0.326,0.32,-0.006,-0.006,0.049,0.01,28.66,28.84,28.61,28.43,14.84,14.84,18.12,15.86,0.333,0.358,0.357,13.74,11.4,11.53
"2013-07-31 01:00:00",38048,0,0.328,0.334,0.326,0.321,-0.006,-0.006,0.049,0.01,28.65,28.84,28.61,28.44,14.82,14.82,18.12,15.86,0.334,0.354,0.354,13.64,11.77,11.83
"2013-07-31 01:15:00",38049,0,0.328,0.334,0.326,0.32,-0.006,-0.006,0.049,0.01,28.65,28.84,28.61,28.43,14.84,14.84,18.12,15.86,0.335,0.349,0.349,13.54,12.24,12.25
"2013-07-31 01:30:00",38050,0,0.328,0.334,0.326,0.32,-0.006,-0.006,0.049,0.01,28.66,28.84,28.61,28.43,14.84,14.84,18.12,15.86,0.336,0.348,0.348,13.45,12.33,12.34
"2013-07-31 01:45:00",38051,0,0.328,0.334,0.326,0.32,-0.006,-0.006,0.049,0.01,28.66,28.84,28.61,28.43,14.84,14.84,18.11,15.86,0.337,0.349,0.349,13.38,12.26,12.26
"2013-07-31 02:00:00",38052,0,0.328,0.334,0.326,0.32,-0.006,-0.006,0.049,0.01,28.66,28.84,28.61,28.43,14.84,14.84,18.12,15.86,0.338,0.348,0.348,13.31,12.33,12.33
