"TOA5","ROS_2","CR1000","33753","CR1000.Std.19","CPU:ROS02.ROS07.29.6.2012.CR1","45400","ROS02Table15min"
"TIMESTAMP","RECORD","Rain_mm_Tot","VW(1)","VW(2)","VW(3)","VW(4)","VW(5)","VW(6)","VW(7)","VW(8)","PA_uS(1)","PA_uS(2)","PA_uS(3)","PA_uS(4)","PA_uS(5)","PA_uS(6)","PA_uS(7)","PA_uS(8)","HalfBR_Avg(1)","HalfBR_Avg(2)","HalfBR_Avg(3)","SoilTemp_Avg(1)","SoilTemp_Avg(2)","SoilTemp_Avg(3)"
"TS","RN","mm","","","","","","","","","uSec","uSec","uSec","uSec","uSec","uSec","uSec","uSec","mV/mV","mV/mV","mV/mV","Deg C","Deg C","Deg C"
"","","Tot","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Avg","Avg","Avg","Avg","Avg","Avg"
"2013-07-31 00:15:00",38043,0,0.36,0.271,0.34,-0.006,-0.002,-0.002,0.066,-0.002,29.58,26.91,29.01,14.78,15.07,15.11,18.96,15.06,0.288,0.31,0.078,18.4,16.04,56.94
"2013-07-31 00:30:00",38044,0,0.36,0.271,0.34,-0.007,-0.002,-0.002,0.066,-0.002,29.6,26.91,29.01,14.77,15.07,15.11,18.98,15.06,0.288,0.307,0.073,18.37,16.42,58.83
"2013-07-31 00:45:00",38045,0,0.36,0.271,0.34,-0.007,-0.002,-0.002,0.066,-0.002,29.58,26.91,29.01,14.77,15.07,15.11,18.96,15.06,0.315,0.335,0.049,15.54,13.63,70.74
"2013-07-31 01:00:00",38046,0,0.359,0.271,0.341,-0.007,-0.002,-0.001,0.066,-0.002,29.57,26.91,29.03,14.77,15.07,15.12,18.95,15.06,0.312,0.328,0.043,15.84,14.29,74.42
"2013-07-31 01:15:00",38047,0,0.359,0.271,0.341,-0.007,-0.002,-0.001,0.066,-0.002,29.57,26.9,29.03,14.77,15.07,15.12,18.95,15.07,0.312,0.323,0.033,15.79,14.7,83.2
"2013-07-31 01:30:00",38048,0,0.359,0.271,0.341,-0.007,-0.002,-0.001,0.066,-0.002,29.57,26.91,29.03,14.77,15.07,15.14,18.95,15.06,0.314,0.323,0.027,15.67,14.72,89.2
"2013-07-31 01:45:00",38049,0,0.359,0.271,0.34,-0.006,-0.002,-0.001,0.066,-0.002,29.57,26.9,29.01,14.78,15.07,15.12,18.95,15.06,0.315,0.324,0.026,15.57,14.65,91.6
"2013-07-31 02:00:00",38050,0,0.359,0.271,0.341,-0.007,-0.002,-0.001,0.066,-0.002,29.57,26.9,29.03,14.77,15.07,15.14,18.95,15.07,0.315,0.323,0.024,15.49,14.73,93
