"TOA5","ROS_3","CR1000","42709","CR1000.Std.22","CPU:ROS03.ROS10.29.6.2012.CR1","17082","ROS03Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-07-30 08:05:00",38404,-137.4,-94.9,-0.043
"2013-07-30 08:10:00",38405,-137.3,-94.9,-0.041
"2013-07-30 08:15:00",38406,-137.3,-94.8,-0.044
"2013-07-30 08:20:00",38407,-137.5,-95,-0.042
"2013-07-30 08:25:00",38408,-137.7,-95.2,-0.042
"2013-07-30 08:30:00",38409,-137.7,-95.2,-0.043
"2013-07-30 08:35:00",38410,-137.7,-95.2,-0.042
"2013-07-30 08:40:00",38411,-137.7,-95.2,-0.043
"2013-07-30 08:45:00",38412,-137.8,-95.3,-0.043
"2013-07-30 08:50:00",38413,-137.8,-95.4,-0.042
"2013-07-30 08:55:00",38414,-137.8,-95.4,-0.042
"2013-07-30 09:00:00",38415,-137.6,-95.3,-0.042
"2013-07-30 09:05:00",38416,-137.2,-95,-0.042
"2013-07-30 09:10:00",38417,-136.8,-94.8,-0.043
"2013-07-30 09:15:00",38418,-136.2,-94.4,-0.043
"2013-07-30 09:20:00",38419,-135.6,-93.9,-0.045
"2013-07-30 09:25:00",38420,-134.9,-93.4,-0.044
"2013-07-30 09:30:00",38421,-134.3,-92.9,-0.044
"2013-07-30 09:35:00",38422,-133.6,-92.5,-0.043
"2013-07-30 09:40:00",38423,-132.9,-91.8,-0.045
"2013-07-30 09:45:00",38424,-132.1,-91.2,-0.046
"2013-07-30 09:50:00",38425,-131.6,-90.8,-0.044
"2013-07-30 09:55:00",38426,-131.1,-90.4,-0.046
"2013-07-30 10:00:00",38427,-130.4,-89.8,-0.046
"2013-07-30 10:05:00",38428,-129.7,-89.2,-0.045
"2013-07-30 10:10:00",38429,-129,-88.7,-0.044
"2013-07-30 10:15:00",38430,-128.5,-88.2,-0.045
"2013-07-30 10:20:00",38431,-127.8,-87.6,-0.046
"2013-07-30 10:25:00",38432,-127.3,-87.2,-0.046
"2013-07-30 10:30:00",38433,-126.8,-86.8,-0.046
"2013-07-30 10:35:00",38434,-126.2,-86.3,-0.046
"2013-07-30 10:40:00",38435,-125.8,-85.8,-0.046
"2013-07-30 10:45:00",38436,-125.3,-85.4,-0.046
"2013-07-30 10:50:00",38437,-125,-85.1,-0.045
"2013-07-30 10:55:00",38438,-124.7,-84.8,-0.046
"2013-07-30 11:00:00",38439,-124.2,-84.4,-0.045
"2013-07-30 11:05:00",38440,-123.8,-84.1,-0.045
