"TOA5","ROS_2","CR1000","33753","CR1000.Std.19","CPU:ROS02.ROS07.29.6.2012.CR1","45400","ROS02Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-04-30 00:00:00",87635,16.16,147.6,0.001
"2013-04-30 00:05:00",87636,16.16,148.9,0
"2013-04-30 00:10:00",87637,16.06,147.8,0.001
"2013-04-30 00:15:00",87638,15.92,148.2,0.001
"2013-04-30 00:20:00",87639,15.82,148.6,0.001
"2013-04-30 00:25:00",87640,15.89,149,0.001
"2013-04-30 00:30:00",87641,15.99,149.9,0.001
"2013-04-30 00:35:00",87642,15.49,147.8,0.001
"2013-04-30 00:40:00",87643,15.25,148,0.001
"2013-04-30 00:45:00",87644,15.22,149.7,0.001
"2013-04-30 00:50:00",87645,15.49,150.8,0
"2013-04-30 00:55:00",87646,15.76,152,0
"2013-04-30 01:00:00",87647,15.49,150.7,0.001
"2013-04-30 01:05:00",87648,15.02,150.6,0.001
"2013-04-30 01:10:00",87649,15.53,152.3,0.001
"2013-04-30 01:15:00",87650,15.56,152.2,0.001
"2013-04-30 01:20:00",87651,15.63,152.2,0.001
"2013-04-30 01:25:00",87652,15.66,152.2,0
"2013-04-30 01:30:00",87653,15.6,151.9,0.001
"2013-04-30 01:35:00",87654,15.56,151.8,0.001
"2013-04-30 01:40:00",87655,15.63,152.1,0.001
"2013-04-30 01:45:00",87656,15.56,152,0.001
"2013-04-30 01:50:00",87657,15.56,152.1,0
"2013-04-30 01:55:00",87658,15.46,152.4,0
"2013-04-30 02:00:00",87659,15.56,152.9,0.001
"2013-04-30 02:05:00",87660,15.97,153.6,0
"2013-04-30 02:10:00",87661,16.17,153.7,0.001
"2013-04-30 02:15:00",87662,16.17,153.5,0
"2013-04-30 02:20:00",87663,16.13,153.3,0
"2013-04-30 02:25:00",87664,16.1,153.3,0.001
"2013-04-30 02:30:00",87665,16.03,153.3,0
"2013-04-30 02:35:00",87666,16.03,153.2,0
"2013-04-30 02:40:00",87667,15.96,153.2,0.001
"2013-04-30 02:45:00",87668,15.89,153,0.001
"2013-04-30 02:50:00",87669,15.86,153,0.001
"2013-04-30 02:55:00",87670,15.89,153.1,0.001
"2013-04-30 03:00:00",87671,15.76,152.9,0.001
"2013-04-30 03:05:00",87672,15.76,153.3,0.001
"2013-04-30 03:10:00",87673,15.89,153.8,0.001
"2013-04-30 03:15:00",87674,15.89,153.7,0.001
"2013-04-30 03:20:00",87675,15.93,153.6,0.001
"2013-04-30 03:25:00",87676,15.99,153.6,0.001
