"TOA5","ROS_5","CR1000","33756","CR1000.Std.19","CPU:ROS05.ROS11.29.6.2012.CR1","55334","ROS05Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-06-29 23:55:00",104833,13.29,165.1,0.036
"2013-06-30 00:00:00",104834,14.2,165.4,0.037
"2013-06-30 00:05:00",104835,14.16,164.8,0.038
"2013-06-30 00:10:00",104836,13.39,164.8,0.025
"2013-06-30 00:15:00",104837,14.2,164.8,0.029
"2013-06-30 00:20:00",104838,13.73,165.4,0.028
"2013-06-30 00:25:00",104839,13.33,165.1,0.028
"2013-06-30 00:30:00",104840,13.36,165,0.034
"2013-06-30 00:35:00",104841,13.46,165.4,0.039
"2013-06-30 00:40:00",104842,14.16,164.7,0.031
"2013-06-30 00:45:00",104843,13.86,165.6,0.029
"2013-06-30 00:50:00",104844,14.16,165.4,0.041
"2013-06-30 00:55:00",104845,14.26,165,0.043
"2013-06-30 01:00:00",104846,13.63,165.7,-0.055
"2013-06-30 01:05:00",104847,13.43,164.6,0.036
"2013-06-30 01:10:00",104848,13.79,165.3,-0.037
"2013-06-30 01:15:00",104849,13.22,164.8,0.032
"2013-06-30 01:20:00",104850,13.86,165.9,0.042
"2013-06-30 01:25:00",104851,13.53,165.5,0.087
"2013-06-30 01:30:00",104852,13.19,164.8,0.029
"2013-06-30 01:35:00",104853,14.03,165.7,0.023
"2013-06-30 01:40:00",104854,13.43,164.8,0.032
"2013-06-30 01:45:00",104855,13.33,164.9,0.033
"2013-06-30 01:50:00",104856,13.39,164.8,0.028
"2013-06-30 01:55:00",104857,13.53,165.4,0.038
"2013-06-30 02:00:00",104858,13.9,165.6,0.027
"2013-06-30 02:05:00",104859,13.56,165.5,0.032
"2013-06-30 02:10:00",104860,13.6,164.8,0.024
"2013-06-30 02:15:00",104861,14.23,165.6,0.028
"2013-06-30 02:20:00",104862,13.83,165.7,0.032
"2013-06-30 02:25:00",104863,13.9,165.4,0.03
"2013-06-30 02:30:00",104864,13.86,165.5,0.048
"2013-06-30 02:35:00",104865,14.43,165.8,0.051
"2013-06-30 02:40:00",104866,13.96,165.3,0.035
"2013-06-30 02:45:00",104867,14,165.8,0.027
"2013-06-30 02:50:00",104868,14.07,165.9,0.038
"2013-06-30 02:55:00",104869,13.9,165.6,0.035
"2013-06-30 03:00:00",104870,13.8,164.8,0.038
"2013-06-30 03:05:00",104871,14.17,165.5,0.051
"2013-06-30 03:10:00",104872,13.26,165.3,0.036
"2013-06-30 03:15:00",104873,13.86,164.8,0.052
