"TOA5","ROS_6","CR1000","33755","CR1000.Std.19","CPU:ROS06.ROS12.29.6.2012.CR1","32706","ROS06Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-07-31 00:05:00",114133,11.87,84.9,0.001
"2013-07-31 00:10:00",114134,11.84,84.5,0
"2013-07-31 00:15:00",114135,11.67,84.1,0.001
"2013-07-31 00:20:00",114136,11.7,83.9,0
"2013-07-31 00:25:00",114137,11.64,83.7,0
"2013-07-31 00:30:00",114138,11.67,83.2,0
"2013-07-31 00:35:00",114139,11.64,82.6,0
"2013-07-31 00:40:00",114140,11.64,82.1,0
"2013-07-31 00:45:00",114141,11.71,82,0
"2013-07-31 00:50:00",114142,11.71,81.7,0
"2013-07-31 00:55:00",114143,11.81,81.9,0
"2013-07-31 01:00:00",114144,11.98,81.6,0
"2013-07-31 01:05:00",114145,12.15,81.3,0
"2013-07-31 01:10:00",114146,12.29,80.6,0
"2013-07-31 01:15:00",114147,12.32,80.2,0
"2013-07-31 01:20:00",114148,12.35,80.1,0
"2013-07-31 01:25:00",114149,12.35,79.82,0
"2013-07-31 01:30:00",114150,12.46,79.28,0
"2013-07-31 01:35:00",114151,12.49,78.97,0.001
"2013-07-31 01:40:00",114152,12.52,78.94,0
"2013-07-31 01:45:00",114153,12.49,78.94,0
"2013-07-31 01:50:00",114154,12.63,78.84,0
"2013-07-31 01:55:00",114155,12.69,78.63,0
"2013-07-31 02:00:00",114156,12.73,78.5,0
"2013-07-31 02:05:00",114157,12.73,78.4,0
"2013-07-31 02:10:00",114158,12.8,78.02,0
"2013-07-31 02:15:00",114159,12.9,77.65,0
"2013-07-31 02:20:00",114160,13,77.1,0
"2013-07-31 02:25:00",114161,13.1,76.62,0
"2013-07-31 02:30:00",114162,13.17,76.18,0
"2013-07-31 02:35:00",114163,13.27,75.54,0
"2013-07-31 02:40:00",114164,13.24,75.71,0
"2013-07-31 02:45:00",114165,13.33,75.43,0
"2013-07-31 02:50:00",114166,13.23,75.53,0
"2013-07-31 02:55:00",114167,13.3,75.9,0
"2013-07-31 03:00:00",114168,13.26,76.17,0
"2013-07-31 03:05:00",114169,13.23,76.62,0
"2013-07-31 03:10:00",114170,13.2,76.48,0
"2013-07-31 03:15:00",114171,13.3,75.94,0
"2013-07-31 03:20:00",114172,13.37,76.1,0
"2013-07-31 03:25:00",114173,13.47,75.66,0
"2013-07-31 03:30:00",114174,13.47,75.66,0
"2013-07-31 03:35:00",114175,13.37,76.04,0
