"TOA5","ROS_6","CR1000","33755","CR1000.Std.19","CPU:ROS06.ROS12.29.6.2012.CR1","32706","ROS06Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-05-31 00:00:00",96564,9.14,95.8,0.001
"2013-05-31 00:05:00",96565,9.24,95.9,0.001
"2013-05-31 00:10:00",96566,9.38,95.8,0.001
"2013-05-31 00:15:00",96567,9.48,95.9,0.001
"2013-05-31 00:20:00",96568,9.41,95.7,0.002
"2013-05-31 00:25:00",96569,9.38,95.8,0.001
"2013-05-31 00:30:00",96570,9.07,95.5,0.001
"2013-05-31 00:35:00",96571,7.577,94.8,0.002
"2013-05-31 00:40:00",96572,8.02,96,0.002
"2013-05-31 00:45:00",96573,8.02,96.1,0.002
"2013-05-31 00:50:00",96574,7.985,96.1,0.002
"2013-05-31 00:55:00",96575,7.985,96.2,0.002
"2013-05-31 01:00:00",96576,8.39,96.3,0.001
"2013-05-31 01:05:00",96577,8.05,96,0.002
"2013-05-31 01:10:00",96578,8.39,96.3,0.002
"2013-05-31 01:15:00",96579,8.7,96.4,0.002
"2013-05-31 01:20:00",96580,8.39,96.2,0.002
"2013-05-31 01:25:00",96581,8.19,96.1,0.002
"2013-05-31 01:30:00",96582,7.883,96,0.002
"2013-05-31 01:35:00",96583,8.39,96.4,0.002
"2013-05-31 01:40:00",96584,8.77,96.4,0.002
"2013-05-31 01:45:00",96585,8.84,96.3,0.002
"2013-05-31 01:50:00",96586,8.94,96.2,0.002
"2013-05-31 01:55:00",96587,9.11,96.2,0.002
"2013-05-31 02:00:00",96588,8.84,96.1,0.002
"2013-05-31 02:05:00",96589,8.97,96.1,0.002
"2013-05-31 02:10:00",96590,8.97,96.1,0.002
"2013-05-31 02:15:00",96591,9.11,96.1,0.002
"2013-05-31 02:20:00",96592,9.28,96,0.002
"2013-05-31 02:25:00",96593,9.45,96,0.002
"2013-05-31 02:30:00",96594,9.48,95.9,0.002
"2013-05-31 02:35:00",96595,9.58,96,0.002
"2013-05-31 02:40:00",96596,9.75,95.8,0.002
"2013-05-31 02:45:00",96597,9.86,95.9,0.002
"2013-05-31 02:50:00",96598,9.72,95.8,0.002
"2013-05-31 02:55:00",96599,9.69,95.8,0.002
"2013-05-31 03:00:00",96600,9.69,95.8,0.002
"2013-05-31 03:05:00",96601,9.62,95.8,0.002
"2013-05-31 03:10:00",96602,9.48,95.9,0.002
"2013-05-31 03:15:00",96603,9.28,95.8,0.002
"2013-05-31 03:20:00",96604,9.18,95.9,0.001
