"TOA5","ROS_1","CR1000","33754","CR1000.Std.19","CPU:ROS01.ROS08.29.6.2012.CR1","13","ROS01Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-04-30 00:05:00",87639,16.27,89.4,0.001
"2013-04-30 00:10:00",87640,16.06,89.2,0.001
"2013-04-30 00:15:00",87641,15.66,89.1,0.001
"2013-04-30 00:20:00",87642,15.62,89.9,0.001
"2013-04-30 00:25:00",87643,15.69,90.1,0.001
"2013-04-30 00:30:00",87644,15.66,90.3,0
"2013-04-30 00:35:00",87645,15.25,89.4,0.001
"2013-04-30 00:40:00",87646,15.02,89.7,0.001
"2013-04-30 00:45:00",87647,14.95,90.2,0.001
"2013-04-30 00:50:00",87648,15.15,90.6,0.001
"2013-04-30 00:55:00",87649,15.39,91.4,0.001
"2013-04-30 01:00:00",87650,15.46,90.8,0
"2013-04-30 01:05:00",87651,15.12,91.1,0
"2013-04-30 01:10:00",87652,15.63,92.3,0
"2013-04-30 01:15:00",87653,15.59,92.2,0.001
"2013-04-30 01:20:00",87654,15.86,92.3,0
"2013-04-30 01:25:00",87655,15.93,92.3,0
"2013-04-30 01:30:00",87656,15.86,92.2,0
"2013-04-30 01:35:00",87657,15.83,92.1,0
"2013-04-30 01:40:00",87658,15.97,92.2,0
"2013-04-30 01:45:00",87659,15.93,92.3,0
"2013-04-30 01:50:00",87660,15.93,92.3,0
"2013-04-30 01:55:00",87661,16,92.5,0.001
"2013-04-30 02:00:00",87662,16,92.6,0
"2013-04-30 02:05:00",87663,16.34,93,0.001
"2013-04-30 02:10:00",87664,16.37,93,0.001
"2013-04-30 02:15:00",87665,16.54,93,0
"2013-04-30 02:20:00",87666,16.47,93,0.001
"2013-04-30 02:25:00",87667,16.47,92.9,0.001
"2013-04-30 02:30:00",87668,16.34,92.9,0
"2013-04-30 02:35:00",87669,16.3,92.7,0
"2013-04-30 02:40:00",87670,16.27,92.7,0.001
"2013-04-30 02:45:00",87671,16.14,92.7,0
"2013-04-30 02:50:00",87672,16.14,92.8,0
"2013-04-30 02:55:00",87673,16.14,92.7,0
"2013-04-30 03:00:00",87674,15.93,92.6,0
"2013-04-30 03:05:00",87675,15.97,92.8,0
"2013-04-30 03:10:00",87676,16.1,93,0
"2013-04-30 03:15:00",87677,16.17,93.2,0
"2013-04-30 03:20:00",87678,16.27,93.1,0
"2013-04-30 03:25:00",87679,16.27,93.1,0.001
"2013-04-30 03:30:00",87680,16.24,92.9,0
"2013-04-30 03:35:00",87681,16.07,92.8,0
