"TOA5","ROS_2","CR1000","33753","CR1000.Std.19","CPU:ROS02.ROS07.29.6.2012.CR1","45400","ROS02Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-06-30 00:00:00",105203,12.26,161.3,0
"2013-06-30 00:05:00",105204,12.19,162.1,0
"2013-06-30 00:10:00",105205,12.12,162.4,0
"2013-06-30 00:15:00",105206,12.05,162.5,0
"2013-06-30 00:20:00",105207,12.09,162.7,0
"2013-06-30 00:25:00",105208,12.09,162.7,0.001
"2013-06-30 00:30:00",105209,12.09,162.8,0
"2013-06-30 00:35:00",105210,12.12,162.9,0
"2013-06-30 00:40:00",105211,12.15,162.8,0
"2013-06-30 00:45:00",105212,12.16,162.9,0
"2013-06-30 00:50:00",105213,12.09,162.8,0
"2013-06-30 00:55:00",105214,12.09,162.8,0.001
"2013-06-30 01:00:00",105215,12.05,162.8,0
"2013-06-30 01:05:00",105216,11.99,162.9,0
"2013-06-30 01:10:00",105217,11.85,162.9,0
"2013-06-30 01:15:00",105218,11.78,162.9,0.001
"2013-06-30 01:20:00",105219,11.95,162.9,0.001
"2013-06-30 01:25:00",105220,11.82,162.9,0
"2013-06-30 01:30:00",105221,11.82,162.9,0
"2013-06-30 01:35:00",105222,11.78,162.8,0
"2013-06-30 01:40:00",105223,11.82,162.9,0
"2013-06-30 01:45:00",105224,11.89,162.9,0
"2013-06-30 01:50:00",105225,11.92,162.8,0
"2013-06-30 01:55:00",105226,11.99,162.9,0
"2013-06-30 02:00:00",105227,11.95,162.9,0
"2013-06-30 02:05:00",105228,11.92,162.9,0
"2013-06-30 02:10:00",105229,11.85,162.9,0
"2013-06-30 02:15:00",105230,11.95,162.9,0
"2013-06-30 02:20:00",105231,11.92,162.9,0.001
"2013-06-30 02:25:00",105232,11.95,162.8,0.001
"2013-06-30 02:30:00",105233,11.99,162.8,0
"2013-06-30 02:35:00",105234,12.05,162.9,0
"2013-06-30 02:40:00",105235,12.09,162.9,0
"2013-06-30 02:45:00",105236,12.02,162.9,0
"2013-06-30 02:50:00",105237,12.05,162.8,0.001
"2013-06-30 02:55:00",105238,12.09,162.9,0
"2013-06-30 03:00:00",105239,12.05,162.8,0
"2013-06-30 03:05:00",105240,12.09,162.8,0
"2013-06-30 03:10:00",105241,12.05,162.8,0
"2013-06-30 03:15:00",105242,12.02,162.7,0
"2013-06-30 03:20:00",105243,12.02,162.7,0
"2013-06-30 03:25:00",105244,12.02,162.7,0
"2013-06-30 03:30:00",105245,11.92,162.9,0
