"TOA5","ROS_6","CR1000","33755","CR1000.Std.19","CPU:ROS06.ROS12.29.6.2012.CR1","32706","ROS06Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-04-30 00:00:00",87636,15.93,90.6,0
"2013-04-30 00:05:00",87637,15.76,90.2,0.001
"2013-04-30 00:10:00",87638,15.7,90.7,0.001
"2013-04-30 00:15:00",87639,15.76,91.2,0
"2013-04-30 00:20:00",87640,15.87,91.4,0
"2013-04-30 00:25:00",87641,15.7,91.2,0
"2013-04-30 00:30:00",87642,15.6,91.1,0
"2013-04-30 00:35:00",87643,15.36,91.3,0.001
"2013-04-30 00:40:00",87644,14.99,91.3,0.001
"2013-04-30 00:45:00",87645,14.99,91.8,0.001
"2013-04-30 00:50:00",87646,15.19,92.4,0
"2013-04-30 00:55:00",87647,15.56,93,0.002
"2013-04-30 01:00:00",87648,15.26,91.8,0.001
"2013-04-30 01:05:00",87649,14.41,92.4,0.001
"2013-04-30 01:10:00",87650,14.99,93.3,0
"2013-04-30 01:15:00",87651,15.19,92.8,0.001
"2013-04-30 01:20:00",87652,15.06,92.7,0.002
"2013-04-30 01:25:00",87653,15.26,93.1,0.001
"2013-04-30 01:30:00",87654,15.33,93,0.001
"2013-04-30 01:35:00",87655,15.29,92.9,0.002
"2013-04-30 01:40:00",87656,15.29,93,0.002
"2013-04-30 01:45:00",87657,15.02,92.7,0.002
"2013-04-30 01:50:00",87658,15.02,93.1,0.001
"2013-04-30 01:55:00",87659,15.33,93.8,0.002
"2013-04-30 02:00:00",87660,15.9,94.3,0.002
"2013-04-30 02:05:00",87661,16.14,94,0.001
"2013-04-30 02:10:00",87662,16.18,93.9,0.001
"2013-04-30 02:15:00",87663,16.07,93.7,0.002
"2013-04-30 02:20:00",87664,15.94,93.7,0.001
"2013-04-30 02:25:00",87665,15.87,93.8,0.002
"2013-04-30 02:30:00",87666,15.7,93.7,0.001
"2013-04-30 02:35:00",87667,15.63,93.8,0.001
"2013-04-30 02:40:00",87668,15.4,93.6,0.002
"2013-04-30 02:45:00",87669,15.33,93.7,0.002
"2013-04-30 02:50:00",87670,15.33,93.9,0.002
"2013-04-30 02:55:00",87671,15.36,94,0.002
"2013-04-30 03:00:00",87672,15.46,94.2,0.001
"2013-04-30 03:05:00",87673,15.84,94.4,0.001
"2013-04-30 03:10:00",87674,15.9,94.4,0.001
"2013-04-30 03:15:00",87675,15.77,94.1,0.001
"2013-04-30 03:20:00",87676,15.84,94,0.002
"2013-04-30 03:25:00",87677,15.63,94,0.002
