"TOA5","ROS_4","CR1000","33752","CR1000.Std.19","CPU:ROS04.ROS09.29.6.2012.CR1","44527","ROS04Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-03-31 00:00:00",78995,16.69,86.7,0
"2013-03-31 00:05:00",78996,16.46,87.3,-0.001
"2013-03-31 00:10:00",78997,16.36,88.2,0
"2013-03-31 00:15:00",78998,16.36,88.7,0
"2013-03-31 00:20:00",78999,16.29,89.5,0
"2013-03-31 00:25:00",79000,16.36,89.9,0
"2013-03-31 00:30:00",79001,16.36,90,0
"2013-03-31 00:35:00",79002,16.42,91.6,0.001
"2013-03-31 00:40:00",79003,16.59,91.2,0.001
"2013-03-31 00:45:00",79004,16.56,91.1,0
"2013-03-31 00:50:00",79005,16.59,91.2,0.001
"2013-03-31 00:55:00",79006,16.63,90.7,0.002
"2013-03-31 01:00:00",79007,16.49,91.5,0.001
"2013-03-31 01:05:00",79008,16.36,91.4,0.001
"2013-03-31 01:10:00",79009,16.33,91.6,0
"2013-03-31 01:15:00",79010,16.5,92.1,0
"2013-03-31 01:20:00",79011,16.57,93.6,0.001
"2013-03-31 01:25:00",79012,16.77,93.7,0.001
"2013-03-31 01:30:00",79013,16.84,93.2,0
"2013-03-31 01:35:00",79014,16.84,92.4,0
"2013-03-31 01:40:00",79015,16.8,92.5,0.001
"2013-03-31 01:45:00",79016,16.87,92.6,0.001
"2013-03-31 01:50:00",79017,16.57,90.9,0.001
"2013-03-31 01:55:00",79018,16.4,92.4,0
"2013-03-31 02:00:00",79019,16.17,92.7,0
"2013-03-31 02:05:00",79020,16.27,93.7,0.001
"2013-03-31 02:10:00",79021,16.3,95.1,0.001
"2013-03-31 02:15:00",79022,16.44,95.8,0
"2013-03-31 02:20:00",79023,16.61,96.3,0
"2013-03-31 02:25:00",79024,16.61,96.4,0.001
"2013-03-31 02:30:00",79025,16.37,93.5,0.001
"2013-03-31 02:35:00",79026,16.24,94.4,0
"2013-03-31 02:40:00",79027,15.93,94.3,0.001
"2013-03-31 02:45:00",79028,15.97,95.8,0
"2013-03-31 02:50:00",79029,15.97,96.5,0.002
"2013-03-31 02:55:00",79030,15.8,96.1,0.001
"2013-03-31 03:00:00",79031,15.67,95.9,0.001
"2013-03-31 03:05:00",79032,15.63,96.1,0.001
"2013-03-31 03:10:00",79033,15.5,96.8,0.001
"2013-03-31 03:15:00",79034,15.36,97.1,0.001
"2013-03-31 03:20:00",79035,15.33,97.3,0.001
"2013-03-31 03:25:00",79036,15.4,97.6,0.001
