"TOA5","ROS_6","CR1000","33755","CR1000.Std.19","CPU:ROS06.ROS12.29.6.2012.CR1","32706","ROS06Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-06-30 00:00:00",105204,12.18,85.7,0.007
"2013-06-30 00:05:00",105205,12.15,86.1,0.007
"2013-06-30 00:10:00",105206,11.98,86.5,0.007
"2013-06-30 00:15:00",105207,11.98,86.5,0.007
"2013-06-30 00:20:00",105208,11.98,87,0.007
"2013-06-30 00:25:00",105209,11.98,87.4,0.007
"2013-06-30 00:30:00",105210,12.05,87.5,0.007
"2013-06-30 00:35:00",105211,12.01,87.9,0.007
"2013-06-30 00:40:00",105212,11.91,88,0.007
"2013-06-30 00:45:00",105213,12.01,88.1,0.007
"2013-06-30 00:50:00",105214,12.08,88,0.007
"2013-06-30 00:55:00",105215,11.95,88.3,0.007
"2013-06-30 01:00:00",105216,11.91,88.5,0.007
"2013-06-30 01:05:00",105217,11.84,88.9,0.007
"2013-06-30 01:10:00",105218,11.81,89.2,0.007
"2013-06-30 01:15:00",105219,11.81,89.2,0.007
"2013-06-30 01:20:00",105220,11.81,89.3,0.007
"2013-06-30 01:25:00",105221,11.81,89.3,0.006
"2013-06-30 01:30:00",105222,11.71,89.2,0.007
"2013-06-30 01:35:00",105223,11.81,89.2,0.007
"2013-06-30 01:40:00",105224,11.71,89.3,0.007
"2013-06-30 01:45:00",105225,11.74,89.4,0.007
"2013-06-30 01:50:00",105226,11.81,89.5,0.007
"2013-06-30 01:55:00",105227,11.78,89.5,0.007
"2013-06-30 02:00:00",105228,11.74,89.5,0.007
"2013-06-30 02:05:00",105229,11.78,89.5,0.007
"2013-06-30 02:10:00",105230,11.81,89.6,0.007
"2013-06-30 02:15:00",105231,11.88,89.3,0.007
"2013-06-30 02:20:00",105232,11.84,88.8,0.007
"2013-06-30 02:25:00",105233,11.91,88.5,0.007
"2013-06-30 02:30:00",105234,11.91,88.2,0.007
"2013-06-30 02:35:00",105235,11.98,87.9,0.007
"2013-06-30 02:40:00",105236,11.98,87.7,0.007
"2013-06-30 02:45:00",105237,11.95,87.2,0.007
"2013-06-30 02:50:00",105238,12.05,86.8,0.007
"2013-06-30 02:55:00",105239,11.98,86.8,0.007
"2013-06-30 03:00:00",105240,11.98,86.7,0.007
"2013-06-30 03:05:00",105241,11.98,86.5,0.007
"2013-06-30 03:10:00",105242,12.01,86.7,0.007
"2013-06-30 03:15:00",105243,11.78,87.2,0.007
"2013-06-30 03:20:00",105244,11.88,87.3,0.007
