"TOA5","ROS_1","CR1000","33754","CR1000.Std.19","CPU:ROS01.ROS08.29.6.2012.CR1","13","ROS01Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-07-31 00:05:00",114135,12.19,85.1,0
"2013-07-31 00:10:00",114136,12.19,85.3,0
"2013-07-31 00:15:00",114137,12.03,85.3,0
"2013-07-31 00:20:00",114138,12.03,85.4,0
"2013-07-31 00:25:00",114139,12.09,84.6,0
"2013-07-31 00:30:00",114140,12.26,83.5,0
"2013-07-31 00:35:00",114141,12.06,83.2,0
"2013-07-31 00:40:00",114142,12.16,82.9,0
"2013-07-31 00:45:00",114143,12.13,82.4,0
"2013-07-31 00:50:00",114144,12.23,82,0
"2013-07-31 00:55:00",114145,12.36,81.4,0
"2013-07-31 01:00:00",114146,12.57,80.9,0
"2013-07-31 01:05:00",114147,12.8,79.31,0
"2013-07-31 01:10:00",114148,12.87,77.79,0
"2013-07-31 01:15:00",114149,12.94,77.82,0
"2013-07-31 01:20:00",114150,12.97,77.58,0
"2013-07-31 01:25:00",114151,12.9,77.38,0
"2013-07-31 01:30:00",114152,13.14,77.01,0
"2013-07-31 01:35:00",114153,13.04,77.04,0
"2013-07-31 01:40:00",114154,13.01,77.18,0
"2013-07-31 01:45:00",114155,12.97,77.21,0
"2013-07-31 01:50:00",114156,13.14,77.08,0
"2013-07-31 01:55:00",114157,13.04,77.28,0
"2013-07-31 02:00:00",114158,13.11,77.21,0
"2013-07-31 02:05:00",114159,13.21,76.91,0
"2013-07-31 02:10:00",114160,13.24,76.7,0
"2013-07-31 02:15:00",114161,13.34,76.03,0
"2013-07-31 02:20:00",114162,13.68,74.68,0
"2013-07-31 02:25:00",114163,13.75,74.34,0
"2013-07-31 02:30:00",114164,13.85,73.57,0
"2013-07-31 02:35:00",114165,13.85,73.3,0
"2013-07-31 02:40:00",114166,13.85,73.43,0
"2013-07-31 02:45:00",114167,13.78,73.7,0
"2013-07-31 02:50:00",114168,13.75,74.04,0
"2013-07-31 02:55:00",114169,13.78,74.34,0
"2013-07-31 03:00:00",114170,13.78,74.31,0
"2013-07-31 03:05:00",114171,13.82,74.27,0
"2013-07-31 03:10:00",114172,13.85,74.21,0
"2013-07-31 03:15:00",114173,13.82,74.44,0
"2013-07-31 03:20:00",114174,13.98,74.21,0
"2013-07-31 03:25:00",114175,13.88,74.75,0
"2013-07-31 03:30:00",114176,13.85,75.08,0
"2013-07-31 03:35:00",114177,13.95,74.34,0
"2013-07-31 03:40:00",114178,13.98,74.68,0
