"TOA5","ROS_4","CR1000","33752","CR1000.Std.19","CPU:ROS04.ROS09.29.6.2012.CR1","44527","ROS04Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-06-30 00:00:00",105203,12.19,86.2,-0.004
"2013-06-30 00:05:00",105204,12.12,86.3,0
"2013-06-30 00:10:00",105205,12.09,86.6,-0.005
"2013-06-30 00:15:00",105206,12.09,87,-0.005
"2013-06-30 00:20:00",105207,12.05,87.1,-0.006
"2013-06-30 00:25:00",105208,11.88,87.7,-0.006
"2013-06-30 00:30:00",105209,12.05,88,-0.003
"2013-06-30 00:35:00",105210,11.95,88.1,-0.004
"2013-06-30 00:40:00",105211,11.92,88.5,-0.006
"2013-06-30 00:45:00",105212,11.98,88.6,-0.004
"2013-06-30 00:50:00",105213,12.08,88.5,-0.005
"2013-06-30 00:55:00",105214,12.02,88.8,-0.003
"2013-06-30 01:00:00",105215,11.95,89,-0.005
"2013-06-30 01:05:00",105216,11.92,89.4,-0.004
"2013-06-30 01:10:00",105217,11.75,89.6,-0.004
"2013-06-30 01:15:00",105218,11.71,89.9,-0.005
"2013-06-30 01:20:00",105219,11.74,90.1,-0.003
"2013-06-30 01:25:00",105220,11.85,90.1,-0.004
"2013-06-30 01:30:00",105221,11.75,90.2,-0.007
"2013-06-30 01:35:00",105222,11.74,90,-0.002
"2013-06-30 01:40:00",105223,11.68,90,-0.003
"2013-06-30 01:45:00",105224,11.78,90.1,-0.004
"2013-06-30 01:50:00",105225,11.81,90,-0.003
"2013-06-30 01:55:00",105226,11.81,90,-0.001
"2013-06-30 02:00:00",105227,11.78,90,-0.006
"2013-06-30 02:05:00",105228,11.78,90.2,-0.004
"2013-06-30 02:10:00",105229,11.74,90.1,-0.005
"2013-06-30 02:15:00",105230,11.71,90,-0.006
"2013-06-30 02:20:00",105231,11.81,89.5,-0.003
"2013-06-30 02:25:00",105232,11.81,89.1,-0.002
"2013-06-30 02:30:00",105233,11.88,88.7,-0.002
"2013-06-30 02:35:00",105234,11.88,88.5,-0.003
"2013-06-30 02:40:00",105235,11.92,88.4,-0.004
"2013-06-30 02:45:00",105236,11.98,87.9,-0.002
"2013-06-30 02:50:00",105237,12.02,87.4,-0.002
"2013-06-30 02:55:00",105238,12.02,86.9,-0.003
"2013-06-30 03:00:00",105239,12.05,86.7,-0.004
"2013-06-30 03:05:00",105240,12.05,86.7,-0.004
"2013-06-30 03:10:00",105241,11.98,86.8,-0.004
"2013-06-30 03:15:00",105242,11.92,87,-0.004
