"TOA5","ROS_1","CR1000","33754","CR1000.Std.19","CPU:ROS01.ROS08.29.6.2012.CR1","13","ROS01Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-05-31 00:05:00",96567,11.53,95.9,0
"2013-05-31 00:10:00",96568,11.13,95.6,0
"2013-05-31 00:15:00",96569,11.03,95.7,0
"2013-05-31 00:20:00",96570,10.86,95.7,0
"2013-05-31 00:25:00",96571,10.59,95.8,0
"2013-05-31 00:30:00",96572,10.49,95.9,0
"2013-05-31 00:35:00",96573,9.85,95.4,0
"2013-05-31 00:40:00",96574,10.62,96.7,0.001
"2013-05-31 00:45:00",96575,11,96.8,0
"2013-05-31 00:50:00",96576,10.62,96.4,0.001
"2013-05-31 00:55:00",96577,10.83,96.7,0.001
"2013-05-31 01:00:00",96578,10.86,96.6,0
"2013-05-31 01:05:00",96579,10.83,96.5,0.001
"2013-05-31 01:10:00",96580,11.07,96.7,0.001
"2013-05-31 01:15:00",96581,11.07,96.7,0
"2013-05-31 01:20:00",96582,10.73,96.2,0.001
"2013-05-31 01:25:00",96583,10.43,96.2,0.002
"2013-05-31 01:30:00",96584,10.26,96.4,0.001
"2013-05-31 01:35:00",96585,10.23,96.5,0.001
"2013-05-31 01:40:00",96586,10.33,96.5,0.001
"2013-05-31 01:45:00",96587,10.7,96.9,0.001
"2013-05-31 01:50:00",96588,11.17,97,0.001
"2013-05-31 01:55:00",96589,11.38,97,0.001
"2013-05-31 02:00:00",96590,11.27,96.7,0.001
"2013-05-31 02:05:00",96591,11.14,96.6,0
"2013-05-31 02:10:00",96592,11.21,96.5,0
"2013-05-31 02:15:00",96593,11.17,96.6,0
"2013-05-31 02:20:00",96594,11.44,96.6,0.001
"2013-05-31 02:25:00",96595,11.51,96.6,0.001
"2013-05-31 02:30:00",96596,11.75,96.6,0.001
"2013-05-31 02:35:00",96597,11.81,96.5,0
"2013-05-31 02:40:00",96598,11.98,96.6,0
"2013-05-31 02:45:00",96599,12.12,96.6,0
"2013-05-31 02:50:00",96600,12.05,96.5,0.001
"2013-05-31 02:55:00",96601,12.05,96.5,0.001
"2013-05-31 03:00:00",96602,11.98,96.5,0.001
"2013-05-31 03:05:00",96603,12.01,96.4,0.001
"2013-05-31 03:10:00",96604,11.98,96.4,0.001
"2013-05-31 03:15:00",96605,11.74,96.3,0.001
"2013-05-31 03:20:00",96606,11.57,96.3,0.001
"2013-05-31 03:25:00",96607,11.44,96.4,0.001
"2013-05-31 03:30:00",96608,11.47,96.4,0.001
