"TOA5","ROS_1","CR1000","33754","CR1000.Std.19","CPU:ROS01.ROS08.29.6.2012.CR1","13","ROS01Table05min"
"TIMESTAMP","RECORD","AirTC","RH","PPFD_Avg"
"TS","RN","Deg C","%","umol m-2 s-1"
"","","Smp","Smp","Avg"
"2013-03-31 00:05:00",78999,17.11,86.2,0.002
"2013-03-31 00:10:00",79000,17,86.9,0.001
"2013-03-31 00:15:00",79001,17,87.6,0.001
"2013-03-31 00:20:00",79002,16.9,87.9,0.001
"2013-03-31 00:25:00",79003,16.97,88.3,0.001
"2013-03-31 00:30:00",79004,16.87,88.4,0.001
"2013-03-31 00:35:00",79005,16.94,88.7,0
"2013-03-31 00:40:00",79006,16.94,89.2,0.001
"2013-03-31 00:45:00",79007,17.04,89.1,0
"2013-03-31 00:50:00",79008,17.14,89.2,0
"2013-03-31 00:55:00",79009,17.21,89,0
"2013-03-31 01:00:00",79010,17.04,89.4,0
"2013-03-31 01:05:00",79011,16.94,89.1,0
"2013-03-31 01:10:00",79012,17.04,89.3,0
"2013-03-31 01:15:00",79013,17.14,89.5,0
"2013-03-31 01:20:00",79014,17.21,89.8,0
"2013-03-31 01:25:00",79015,17.28,89.7,0
"2013-03-31 01:30:00",79016,17.31,89.7,0
"2013-03-31 01:35:00",79017,17.38,89.5,0
"2013-03-31 01:40:00",79018,17.21,89.3,0
"2013-03-31 01:45:00",79019,17.31,89.4,0
"2013-03-31 01:50:00",79020,17.11,89,0.001
"2013-03-31 01:55:00",79021,16.71,88.9,0
"2013-03-31 02:00:00",79022,16.57,89.5,0.001
"2013-03-31 02:05:00",79023,16.77,89.6,0
"2013-03-31 02:10:00",79024,16.81,90.4,0
"2013-03-31 02:15:00",79025,16.98,90.5,0
"2013-03-31 02:20:00",79026,17.04,90.6,0
"2013-03-31 02:25:00",79027,16.94,90.4,0
"2013-03-31 02:30:00",79028,17.01,90.2,0.001
"2013-03-31 02:35:00",79029,16.81,90.1,0.001
"2013-03-31 02:40:00",79030,16.5,89.5,0.001
"2013-03-31 02:45:00",79031,16.33,89.9,0
"2013-03-31 02:50:00",79032,16.23,90.3,0.001
"2013-03-31 02:55:00",79033,16.27,90.5,0.001
"2013-03-31 03:00:00",79034,16.4,90.9,0.001
"2013-03-31 03:05:00",79035,16.3,90.6,0.001
"2013-03-31 03:10:00",79036,15.93,89.9,0.001
"2013-03-31 03:15:00",79037,15.69,90.3,0.001
"2013-03-31 03:20:00",79038,15.83,91.1,0.001
"2013-03-31 03:25:00",79039,16.06,91.7,0
"2013-03-31 03:30:00",79040,16.03,91.2,0
"2013-03-31 03:35:00",79041,15.86,91.4,0
